id,year,metric,sharpe
F7,2022,top3_excess,-1.4693986493415945
F7,2023,top3_excess,4.340070396594259
F7,2024,top3_excess,-1.3940723833819617
F7,2025,top3_excess,-1.2816934325997047
F7,2026,top3_excess,
F7,2019,top5_excess,
F7,2020,top5_excess,1.425237330225356
F7,2021,top5_excess,-0.12545452678664293
F7,2022,top5_excess,-2.7870873159519562
F7,2023,top5_excess,2.9091267980014646
F7,2024,top5_excess,-1.3487348468456204
F7,2025,top5_excess,-1.026526945486711
F7,2026,top5_excess,
F8,2019,ls,
F8,2020,ls,
F8,2021,ls,
F8,2022,ls,
F8,2023,ls,
F8,2024,ls,
F8,2025,ls,
F8,2026,ls,
F8,2019,top3_excess,
F8,2020,top3_excess,
F8,2021,top3_excess,
F8,2022,top3_excess,
F8,2023,top3_excess,
F8,2024,top3_excess,
F8,2025,top3_excess,
F8,2026,top3_excess,
F8,2019,top5_excess,
F8,2020,top5_excess,
F8,2021,top5_excess,
F8,2022,top5_excess,
F8,2023,top5_excess,
F8,2024,top5_excess,
F8,2025,top5_excess,
F8,2026,top5_excess,
