phase,n_rebal,sharpe_ls,sharpe_top3,sharpe_top5,worst_year_ls,best_year_ls
0,72,0.6275216959173975,0.31548796019966563,0.4902473210040959,-0.18057406582740826,1.4645493527025262
1,73,0.2301641046185838,0.6079484096767671,0.4136235621578045,-0.6403301662429958,1.5027993843881
2,72,0.5122764299151674,0.3408354501311697,0.6018851413544152,-0.10846714354039358,2.337634138026059
3,71,0.19877674832744469,0.4335049376813518,0.20565324663580692,-1.1651746709454969,1.7112276320490298
4,72,-0.13962199570381553,0.13969035938427343,0.4504851580174123,-2.05202352825689,1.7927717491495203
5,72,0.5281105906337235,-0.041371323995408396,0.11202129229276649,-1.4925555087135876,2.323207149928698
6,73,0.4837717506473861,0.5948571408260089,0.24251929970760064,-1.7765958396789339,2.3468687644739266
7,72,0.48399015415220975,-0.07219264153111361,0.10006027921859935,-1.1013233047347732,2.253306601342318
8,73,0.6365682255255323,-0.11446301453749277,0.2905291948525158,-0.837761958575769,2.554176739399169
9,72,0.07521366721303928,0.12246335903560919,0.12365764151525659,-1.147439509238775,1.795813120519038
10,73,0.1692281547765096,0.15074762405226025,0.04233883378942024,-0.5933419622545311,1.5782153488289943
11,72,-0.09579613845045513,0.0889378518520221,-0.1277216202784105,-0.8812810447239972,0.887511135901868
12,72,-0.23004242161377536,-0.19403877071814232,-0.37335557477975984,-0.9621170910372453,0.7267879164724699
13,73,0.33446791907479534,0.14095277001529052,0.11099849909965809,-0.2611170006510474,1.4607469705575669
14,73,0.19129885979359543,0.41300844393462144,-0.1761736981605384,-0.5599054903428557,1.5720272001528086
15,74,0.17466328199290726,0.026533895840854117,-0.1871537225012719,-0.4660935339988212,1.4783353378057231
16,71,0.048838157416251304,0.313721174854393,-0.03678641738370729,-0.5558569626788679,0.6638345831106852
17,73,0.3952323871976513,0.3181899110517562,0.014239437601056795,-0.29839644222601625,1.1096425540270007
18,71,0.16995188673185405,0.20989382816032742,0.05129749204621738,-0.9250490431235332,1.2772020348623185
19,72,0.26069583237507454,-0.09357801121179425,-0.02584832461075767,-0.394462073178078,1.8421135599124834
20,73,0.13808922551697214,0.0704257580604381,0.2544110629387044,-0.2834613696660509,0.9615510397463545
