id,cost_bps,sharpe_ls,sharpe_top3,sharpe_top5
F1,0,0.2301641046185838,0.6079484096767671,0.4136235621578045
F1,5,0.2277700702938648,0.6050064001175354,0.4095078204215451
F1,10,0.2253759212247967,0.6020555425077155,0.40538142149294276
F1,20,0.22058757110187502,0.5961278861237838,0.39709826281195776
F2,0,0.40845410800968995,0.5617062150500999,0.41909771569377935
F2,5,0.4059475461404845,0.5585686163430891,0.4156783779017582
F2,10,0.4034412101673735,0.5554251816842002,0.41225094217614566
F2,20,0.39842951087966516,0.5491215299621355,0.40537276449353965
F3,0,0.41501400699818186,0.3211720867557262,0.09294672672957391
F3,5,0.4145732543355885,0.31937929219836886,0.09126695295978253
F3,10,0.41413220966988495,0.317583999150007,0.08958692551776315
F3,20,0.4132492500400745,0.3139860691927397,0.08622624374602388
F4,0,0.314535971620592,0.9785614891056464,0.6576580755758101
F4,5,0.31214926067587445,0.9753000052574851,0.6536621013605984
F4,10,0.30976200149237576,0.9720182025421649,0.6496513245969869
F4,20,0.3049861218306845,0.9653944779717479,0.6415868178853817
F5,0,0.03421319040727019,0.15882915184358878,-0.06941413458488709
F5,5,0.03298310124964514,0.1565693707040685,-0.07142852359767793
F5,10,0.031753008194335006,0.15430624506851912,-0.07344307874434633
F5,20,0.02929285891700422,0.14977022540869758,-0.07747246096619594
F6,0,0.2563478417886486,0.32225174394782297,0.10714023332500788
F6,5,0.25537921602855723,0.3181933016999662,0.10270922425411659
F6,10,0.25441049234064367,0.3141389225020376,0.09829230259448106
F6,20,0.252472782445812,0.30604354507264336,0.08950206528795952
F7,0,0.11198512084018145,-0.19134362254400997,-0.23697251244717665
F7,5,0.110060638625499,-0.19489883680619458,-0.24061254358194825
F7,10,0.10813597805656279,-0.19844933211961988,-0.24424367633038957
F7,20,0.10428628509412982,-0.20553514445322527,-0.25147817505584774
F8,0,-0.11045247736285299,0.1535834350037113,0.04265129124924903
F8,5,-0.11045247736285299,0.1535834350037113,0.04265129124924903
F8,10,-0.11045247736285299,0.1535834350037113,0.04265129124924903
F8,20,-0.11045247736285299,0.1535834350037113,0.04265129124924903
