id,year,metric,sharpe
E7,2023,top3_excess,1.9531467916762668
E7,2024,top3_excess,-0.34186877089625883
E7,2025,top3_excess,-0.9720852920372705
E7,2026,top3_excess,
E7,2019,top5_excess,
E7,2020,top5_excess,-0.9177398129994119
E7,2021,top5_excess,-0.9308075464194754
E7,2022,top5_excess,-0.8773246416517044
E7,2023,top5_excess,1.4994805099582025
E7,2024,top5_excess,-0.3804900116303946
E7,2025,top5_excess,-0.5594399499551583
E7,2026,top5_excess,
E8,2019,ls,
E8,2020,ls,-0.2773583999899086
E8,2021,ls,-0.6353199090141523
E8,2022,ls,0.4096630066553958
E8,2023,ls,-0.5977638102914371
E8,2024,ls,-0.18704196830211925
E8,2025,ls,0.511416330267086
E8,2026,ls,
E8,2019,top3_excess,
E8,2020,top3_excess,0.8663436817722261
E8,2021,top3_excess,1.0692607148501496
E8,2022,top3_excess,1.2615873330311034
E8,2023,top3_excess,-1.1319312084900786
E8,2024,top3_excess,-1.34765142364623
E8,2025,top3_excess,0.09108790788685153
E8,2026,top3_excess,
E8,2019,top5_excess,
E8,2020,top5_excess,0.043284788235977034
E8,2021,top5_excess,0.044556505097772516
E8,2022,top5_excess,1.0283463880293582
E8,2023,top5_excess,-0.919658480634763
E8,2024,top5_excess,-1.361469095984371
E8,2025,top5_excess,0.012355008729097824
E8,2026,top5_excess,
