id,sharpe_excess_net,sharpe_port_net,sharpe_train_excess,sharpe_val_excess,sharpe_test_excess,worst_year_sharpe_excess,max_dd_excess,n_pos_years,n_total_years,frac_pos_years
K1,0.5948359265669297,0.9707490645425911,0.6045652612074562,0.3929456311218046,0.6731794143328039,-0.012161024335818754,-0.17058140004447597,6,7,0.8571428571428571
K2,0.7403115326665692,0.964582549076805,1.038606800854906,0.3581330346969209,0.6646944673447055,0.02744761324280138,-0.13046874529676977,7,7,1.0
K3,0.8666949304008428,1.0407557875581264,1.2747502547022387,0.7502610721143622,0.6454366841761701,-0.11327187200110413,-0.17713401582412758,6,7,0.8571428571428571
K4,0.9223407287555311,1.0749246392426637,1.1485924274238721,0.4441260286725934,0.9224429127439465,-0.13773192801395515,-0.1420688816654807,6,7,0.8571428571428571
K5,1.006941156271833,1.125102333538259,1.087859903543246,0.8438093707658799,1.0033238007499323,-0.12527134994166872,-0.1351148295953758,6,7,0.8571428571428571
K6,0.9432948965451965,0.9438553248520969,0.9639363781877557,-1.6094102713758645,1.1159402274633554,-1.6094102713758645,-0.07962169154596876,6,7,0.8571428571428571
K7,0.8926641361786177,1.1680903073875857,1.1484582131715042,0.44412602867259304,0.8650745040070478,-0.13773192801395517,-0.20805052154402204,6,7,0.8571428571428571
K8,0.9223407287555309,1.0046769490227145,1.148592427423872,0.44412602867259304,0.9224429127439461,-0.13773192801395512,-0.11473026316568213,6,7,0.8571428571428571
