id,year,sharpe
H1,2020,1.2761886428204532
H1,2021,0.5252725954308493
H1,2022,0.5325240515446656
H1,2023,1.0465211176254356
H1,2024,-0.13432704832575326
H1,2025,-0.10335685411064172
H1,2026,1.15219112511621
H2,2020,0.37762470459350167
H2,2021,0.6235856468269491
H2,2022,0.5565980859762462
H2,2023,1.5603497771050723
H2,2024,-0.2658092508700252
H2,2025,-0.10749670900724972
H2,2026,1.15219112511621
H3,2020,0.8748398524950346
H3,2021,0.24220431558584543
H3,2022,0.6353843261609213
H3,2023,1.296746684728515
H3,2024,0.06675158744819439
H3,2025,-0.11204093189844783
H3,2026,1.7969032456106258
H4,2020,0.003363252006258878
H4,2021,0.10599435708519478
H4,2022,0.6229842042732059
H4,2023,1.7560749147918322
H4,2024,-0.43013211649397176
H4,2025,-0.12196709320517435
H4,2026,1.7969032456106258
H5,2020,1.2861288409497245
H5,2021,0.28060275616187064
H5,2022,0.32751958101096773
H5,2023,0.48830551195484406
H5,2024,0.08835756043240929
H5,2025,0.9416094484929466
H5,2026,1.8985731376847457
H6,2020,1.543335730162342
H6,2021,0.43540397430116096
H6,2022,0.75242421836738
H6,2023,1.0900265728262095
H6,2024,-0.03980494388772459
H6,2025,0.277692520424926
H6,2026,1.1737464173524152
H7,2020,1.2473680784777472
H7,2021,1.1086870263105537
H7,2022,0.47056259661807137
H7,2023,1.3091197063611055
H7,2024,-0.2037675184190135
H7,2025,-0.017484505759187318
H7,2026,1.3046962863755875
H8,2020,-0.2930314308274389
H8,2021,0.40156300799623385
H8,2022,0.6229842042732059
H8,2023,1.756979816332085
H8,2024,-0.402590168973756
H8,2025,-0.11800277665824058
H8,2026,1.9819624849398478
