id,year,excess_return_ann,port_return_ann,bench_return_ann
H1,2020,0.11035286684701164,0.48663014115250236,0.37627727430549074
H1,2021,0.0820930549501911,0.23761357890576162,0.15552052395557053
H1,2022,0.07596122030091075,-0.13729139083299746,-0.2132526111339082
H1,2023,0.16445033392196082,0.12478597070391005,-0.039664363218050794
H1,2024,-0.018381172790309677,0.11807550856054846,0.13645668135085814
H1,2025,-0.007788155725389954,0.32004065519891395,0.32782881092430394
H1,2026,0.03699345032237534,0.09057820610167705,0.05358475577930172
H2,2020,0.029089007975046065,0.40536628228053684,0.37627727430549074
H2,2021,0.06764583717173019,0.2231663611273007,0.15552052395557053
H2,2022,0.007127088779596821,-0.20612552235431136,-0.2132526111339082
H2,2023,0.11101179405216972,0.07134743083411894,-0.039664363218050794
H2,2024,-0.01696788562237586,0.11948879572848226,0.13645668135085814
H2,2025,-0.007991414621424903,0.31983739630287905,0.32782881092430394
H2,2026,0.03699345032237534,0.09057820610167705,0.05358475577930172
H3,2020,0.07724313474476883,0.45352040905025953,0.37627727430549074
H3,2021,0.03391927892700499,0.1894398028825755,0.15552052395557053
H3,2022,0.09348335752157542,-0.11976925361233276,-0.2132526111339082
H3,2023,0.1673789611229646,0.1277145979049138,-0.039664363218050794
H3,2024,0.01107306761436935,0.14752974896522747,0.13645668135085814
H3,2025,-0.00802155094424577,0.31980725998005816,0.32782881092430394
H3,2026,0.05662595593559401,0.11021071171489574,0.05358475577930172
H4,2020,0.0002641326003135734,0.3765414069058043,0.37627727430549074
H4,2021,0.010944814282028073,0.16646533823759857,0.15552052395557053
H4,2022,0.00792022516004128,-0.2053323859738669,-0.2132526111339082
H4,2023,0.1011265280591419,0.06146216484109112,-0.039664363218050794
H4,2024,-0.026529223223707512,0.10992745812715062,0.13645668135085814
H4,2025,-0.008500534476245738,0.3193282764480582,0.32782881092430394
H4,2026,0.05662595593559401,0.11021071171489574,0.05358475577930172
H5,2020,0.11312083555885076,0.4857972144593459,0.37267637890049515
H5,2021,0.044124613516183554,0.19432590606840752,0.150201292552224
H5,2022,0.03957240306763351,-0.14390999561507364,-0.18348239868270716
H5,2023,0.046932713337800594,0.01972039930134823,-0.027212314036452388
H5,2024,0.01082978974631835,0.15216134659539216,0.1413315568490738
H5,2025,0.060017934348019775,0.3116974098928741,0.2516794755448543
H5,2026,0.05264917654247157,0.07007638519064854,0.017427208648176973
H6,2020,0.15994649642440603,0.5362237707298968,0.37627727430549074
H6,2021,0.0836408295205597,0.23916135347613024,0.15552052395557053
H6,2022,0.1404831238567163,-0.07276948727719187,-0.2132526111339082
H6,2023,0.18236566862063433,0.14270130540258352,-0.039664363218050794
H6,2024,-0.0071382165836249775,0.12931846476723313,0.13645668135085814
H6,2025,0.023260532322608878,0.3510893432469128,0.32782881092430394
H6,2026,0.04153031440263194,0.09511507018193367,0.05358475577930172
H7,2020,0.12664118046463746,0.5029184547701282,0.37627727430549074
H7,2021,0.1248493039647131,0.2803698279202836,0.15552052395557053
H7,2022,0.046605453108376306,-0.1666471580255319,-0.2132526111339082
H7,2023,0.1425282125318903,0.10286384931383952,-0.039664363218050794
H7,2024,-0.021055940263019903,0.11540074108783822,0.13645668135085814
H7,2025,-0.0017111803468213486,0.3261176305774826,0.32782881092430394
H7,2026,0.05012595077964419,0.10371070655894592,0.05358475577930172
H8,2020,-0.03146162022562063,0.3448156540798701,0.37627727430549074
H8,2021,0.03436992602428193,0.18989044997985247,0.15552052395557053
H8,2022,0.01584045032008256,-0.19741216081382562,-0.2132526111339082
H8,2023,0.15528306729236382,0.11561870407431304,-0.039664363218050794
H8,2024,-0.04092989159875046,0.09552678975210767,0.13645668135085814
H8,2025,-0.011626875123192703,0.3162019358011112,0.32782881092430394
H8,2026,0.07728176834013982,0.13086652411944152,0.05358475577930172
