alpha,q5_ann_excess,q5_ann_vol,q5_ir,q5_max_dd
alpha_01,0.014634518893692869,0.03761824232176359,0.38902718443137474,-0.06695336624063253
alpha_02,0.013092695921978313,0.03259066589124516,0.40173146402312115,-0.08794834232319015
alpha_03,0.041082033890125096,0.04006586898089998,1.0253623579139028,-0.05083832789508136
alpha_04,0.040597726375669725,0.03898140223687006,1.0414639814385869,-0.050815976613699854
alpha_05,0.034335404688491965,0.027349210625743723,1.2554440842315266,-0.027393203971860958
alpha_06,-0.017738640356430895,0.042922995786205974,-0.4132665959474224,-0.18720646562256715
alpha_07,0.02331579668160653,0.029300992533147507,0.7957340235225797,-0.03454387230538225
alpha_08,0.03440430501854654,0.02740953778647759,1.2551946437973063,-0.02739320397186118
