trial,ls_sharpe
1,-0.2725195424943491
2,-0.6843640511998359
3,-0.6164747665789335
4,-0.18240985258944611
5,-1.514413153921396
6,-0.08696209874189127
7,-0.7843001269256572
8,-0.7933810031846329
9,-0.5400297875504572
10,-0.7874376853011922
11,-0.02259460291209703
12,-0.35186341239262836
13,-0.7255910220503963
14,-0.4783239015979653
15,-0.7951095879997516
16,-0.480524633301726
17,-0.6283137475224214
18,0.21436393536835693
19,-1.1000843077123073
20,-0.3686567623505627
21,-0.0029012352069928498
22,-0.35210449653081416
23,-0.05540570069141787
24,-0.400212106263942
25,-0.07725258839682743
26,-0.30330735380519486
27,-0.7317170267009937
28,-0.8004487335782557
29,-0.37420326225194106
30,-0.6857662507174496
31,0.06173089249371776
32,-0.5186091584950565
33,-0.6124395370815094
34,-0.5726354268219176
35,-0.9597299084916786
36,-0.23979545504296393
37,-0.9822518885498646
38,-0.3681599913421245
39,-0.6160914704820238
40,0.11955996709457024
41,-0.544518939138637
42,-0.3205438157844723
43,-0.9093368363195722
44,-0.1811656683357467
45,-0.08849920369101355
46,-1.6423066990040105
47,-0.18721909757998959
48,-0.34218221686168526
49,-1.0060517377692018
50,-0.6582382961675234
51,-0.031798713925458744
52,-0.09498841551479027
53,-0.4310790807494321
54,-0.16560783090058706
55,-0.45593614113038033
56,-0.5387295054195523
57,-0.625255343018075
58,-0.4172379992543049
59,0.1956662889973435
60,-1.044019801938055
61,-0.17187318753998304
62,-0.9269219136072102
63,-0.7873843210058293
64,-0.06591700749339019
65,-1.0433681920665885
66,-0.14089378850649767
67,-0.570201073982667
68,0.007903112572538472
69,-0.4858199845343325
70,-0.7292978738282467
71,-1.1141370180457542
72,-0.8333642097641609
73,-0.6038169929062878
74,-0.7703538481058805
75,-0.870160985904252
76,-0.6008559100169758
77,-0.6269394759860484
78,-0.43500972885009664
79,-0.6060818892799595
80,0.060216828878228754
81,-0.6568918279010585
82,-0.8198558244824129
83,-0.4404233980024367
84,-0.2637739588693672
85,-0.714740031291469
86,-0.9524977315063419
87,-0.5159628295388088
88,-0.7602646874276917
89,-0.6444975865714397
90,-0.6891444127705028
91,-1.0659897557460207
92,-0.4332339789065914
93,-0.9458101496804723
94,-0.8691927001110074
95,-0.7921545731409845
96,-0.9186456702996906
97,0.04701306361315009
98,0.27729342288809833
99,-1.6374724262969225
100,-1.1434383967268165
