alpha,n_reb,ls_ann_ret,ls_ann_vol,ls_sharpe,ls_gross_sharpe,ls_max_dd,avg_tov_q5,avg_tov_q1,avg_cost_per_reb_bps
alpha_01,99,0.09701064159580017,0.05340650368334866,1.8164574519048065,1.9832245602212748,-0.052489572864467426,0.7282956917118135,0.6802949432583283,7.042953174850708
alpha_02,99,0.0989481378389255,0.049968735766725926,1.9802009460646564,2.169936324234734,-0.05840317911946136,0.7643050395848522,0.7381767591061906,7.5124089934552165
alpha_03,97,0.14235839229237418,0.05898341441491718,2.413532578683188,2.4940889303505163,-0.03931301212912908,0.38727644074888473,0.35685476993074006,3.7206560533981237
alpha_04,99,0.16128292721334023,0.06619892750340386,2.4363374649090392,2.5752306054615204,-0.04903616289991941,0.7508909522053048,0.7084242037756172,7.296575779904609
alpha_05,99,0.09082317664600079,0.04840380523921223,1.876364393194946,2.0642571299158554,-0.04642692671098081,0.7230454862340611,0.7178463817052799,7.204459339696703
alpha_06,99,0.05535757065638632,0.053588451874801234,1.0330130600846297,1.1894190783006182,-0.05132784579215466,0.6790698898738216,0.654854764849575,6.669623273616983
alpha_07,99,0.038601174063267255,0.05296305375403048,0.7288321070483915,0.8968628516651681,-0.07551110424547225,0.7116510482284092,0.7007742913861759,7.062126698072925
alpha_08,99,0.09088619483591218,0.048418879737885515,1.8770817360484693,2.064898573816667,-0.04659796048577891,0.7230562399666494,0.7179038407548243,7.204800403607368
