split,from,to,n_rebal,ls_sharpe_net,q5_ir_net,check
train,20180102,20221231,60,2.847854465436582,1.5862813771047262,pass
validate,20230101,20231231,12,2.4768291137834617,0.27584334923029435,pass
test,20240101,20260425,27,1.8079643518140727,0.6218397542773229,pass
