alpha,stack,raw_gross_sh,resid_gross_sh,pct_retained,pass_50
alpha_01,full,1.9832245602212748,2.3583863125301736,118.91675606654653,True
alpha_01,vol_only,1.9832245602212748,1.727464137130209,87.10380920945585,True
alpha_01,rev_only,1.9832245602212748,2.7589706819081723,139.11539506148233,True
alpha_01,vol_rev,1.9832245602212748,2.4095310273409183,121.4956226173439,True
alpha_02,full,2.169936324234734,1.211198753304286,55.81724863430896,True
alpha_02,vol_only,2.169936324234734,1.2920546909083257,59.5434380483027,True
alpha_02,rev_only,2.169936324234734,1.4986370399710658,69.06364132595394,True
alpha_02,vol_rev,2.169936324234734,1.386673932864985,63.90389973097574,True
alpha_03,full,2.4940889303505163,2.525094334989665,101.24315553715205,True
alpha_03,vol_only,2.4940889303505163,1.8496026578178764,74.15945098469024,True
alpha_03,rev_only,2.4940889303505163,2.9329232456278045,117.59497465936849,True
alpha_03,vol_rev,2.4940889303505163,2.4852074845669816,99.64390019636203,True
alpha_04,full,2.5752306054615204,2.0903412649813355,81.17103223875031,True
alpha_04,vol_only,2.5752306054615204,2.0562532147947628,79.84734300819056,True
alpha_04,rev_only,2.5752306054615204,2.4082698154681843,93.51666644380323,True
alpha_04,vol_rev,2.5752306054615204,2.125287328581861,82.52803939478567,True
