window,ls_sharpe_net,q5_ir_net,worst_year_sharpe,pass_sh_15,pass_worst_05,pass_both
10,1.7961535496137415,0.42884755263081065,1.0730591408625239,True,True,True
15,2.1779284645013117,0.8256749746090721,1.7017912951506609,True,True,True
20,2.4363374649090392,1.0414639814385869,0.9024216853749409,True,True,True
25,2.485588502713271,1.2731789047296809,1.4271382763491607,True,True,True
30,2.5193321933107478,1.150900488233639,1.6669876952362515,True,True,True
40,2.581880600080568,1.5450850748430816,2.1172304827047426,True,True,True
