window,year,ls_sharpe
10,2018,1.3833172642887985
10,2019,4.431008068577494
10,2020,1.0730591408625239
10,2021,2.0420702365080694
10,2022,2.3841823172194814
10,2023,2.0644144195322114
10,2024,1.7594904293782023
10,2025,1.51305847214225
15,2018,2.4340081585676585
15,2019,5.138635003801428
15,2020,1.7017912951506609
15,2021,2.337295931200573
15,2022,2.1637199971613663
15,2023,2.482639653549406
15,2024,1.7666044685817726
15,2025,1.9571757241789083
20,2018,4.666708681949265
20,2019,3.675140428053152
20,2020,0.9024216853749409
20,2021,3.799836257121349
20,2022,3.686469084152234
20,2023,2.4768291137834657
20,2024,1.6408227512549693
20,2025,2.2039072637193384
25,2018,4.077113121061878
25,2019,3.247429172699758
25,2020,1.4271382763491607
25,2021,3.3320846353625875
25,2022,3.478130608778573
25,2023,2.32444886715037
25,2024,1.754661592876332
25,2025,2.75084426673546
30,2018,3.238294572094407
30,2019,4.392197470192863
30,2020,1.6669876952362515
30,2021,4.587421769549574
30,2022,2.7368523110697547
30,2023,2.047494840942592
30,2024,1.8717032111706655
30,2025,2.9583003534991024
40,2018,2.56524942844946
40,2019,4.032551140310402
40,2020,2.247860615990823
40,2021,3.415152703580473
40,2022,2.5858972577877677
40,2023,2.1172304827047426
40,2024,2.2664929997883196
40,2025,2.665728318780901
