expr,sharpe_full,sharpe_train,sharpe_val,sharpe_test,sharpe_net_5bps,ann_turnover_pct,n_days
f1_ivol_resid_20d,-0.7605156538979932,-1.1362714807805612,0.1291785492708869,-0.6429033246963103,-0.7732117974134641,493.4891293823224,1615
f2_total_vol_20d,-0.6021254088192194,-0.8672962284665453,-0.8269430584165411,-0.31802390633990113,-0.6174850017769997,781.0565178303865,1733
f3_ivol_resid_10d,-0.6728454901941008,-1.291036067819306,0.21002517438107265,-0.32878318750819147,-0.6954737414359276,948.010086465863,1635
f4_ivol_resid_40d,-0.6325138617032001,-1.0537406902990536,-0.09022544795354748,-0.39683117303641713,-0.6399301967966718,293.4747198180848,1575
f5_ivol_resid_amp_20d,-0.7959229759090505,-1.092468456512286,-0.24314148513302003,-0.673846972763676,-0.8081596108047046,527.4392414774209,1615
f6_ivol_lag5_20d,-0.6500145489861597,-0.9718639857083814,-0.2595451358746613,-0.44818293280361177,-0.6627058707261333,493.78918094554587,1611
f7_vol_of_vol_20m40,-0.44504366518564464,0.2628439026550935,-0.6703360347186144,-1.058151171066963,-0.4839117750355926,1838.2077638814771,1575
f8_kitchen_sink_rank,-0.682708042502084,-0.782493519273277,-0.6021925882094455,-0.6179027982122117,-0.7056039146677324,970.4336912564496,1575
