expr,k,ic_mean,ic_std,ic_t,n_days
f1_ivol_resid_20d,1,0.02707705677595258,0.34067576684155865,3.1911170337588173,1612
f1_ivol_resid_20d,5,0.009016170157328756,0.333725819937207,1.082017967519826,1604
f1_ivol_resid_20d,10,-0.005187624701190138,0.334044615264622,-0.6200236174756477,1594
f1_ivol_resid_20d,20,-0.013902087026679173,0.3380493789126995,-1.6315569009206115,1574
f2_total_vol_20d,1,0.01477396313448667,0.3918169996402497,1.5683276090023996,1730
f2_total_vol_20d,5,-0.014711682018555093,0.39569129025547084,-1.5428454072679976,1722
f2_total_vol_20d,10,-0.019582909650315363,0.3961723170770005,-2.045243282271265,1712
f2_total_vol_20d,20,-0.021161606794126493,0.40599728288697634,-2.144004500794924,1692
f3_ivol_resid_10d,1,0.025185601502151978,0.3381391931535298,3.008963313295798,1632
f3_ivol_resid_10d,5,0.006938228755854629,0.33004444122929943,0.8471673399810884,1624
f3_ivol_resid_10d,10,-0.010769239454761556,0.33034255977225313,-1.3097013316485286,1614
f3_ivol_resid_10d,20,-0.01653985458505323,0.3365168320262639,-1.9623164915344127,1594
f4_ivol_resid_40d,1,0.02510826934344164,0.34166037108549185,2.9137242025771153,1572
f4_ivol_resid_40d,5,0.0015063143410536134,0.3395580177844327,0.17543651659784615,1564
f4_ivol_resid_40d,10,-0.014271945657543668,0.3348196007447477,-1.6803425175480409,1554
f4_ivol_resid_40d,20,-0.02057502162680029,0.33928997952390716,-2.375100257034186,1534
f5_ivol_resid_amp_20d,1,0.02613524011824974,0.3492830980888305,3.0042179921931256,1612
f5_ivol_resid_amp_20d,5,0.009475102949136699,0.3393171691368925,1.1183565463273306,1604
f5_ivol_resid_amp_20d,10,-0.005605281989281749,0.33762679597119394,-0.66283390782485,1594
f5_ivol_resid_amp_20d,20,-0.014573335132394897,0.3433276807694244,-1.6840403627909937,1574
f6_ivol_lag5_20d,1,0.02852533037297179,0.3406017458962305,3.3573123775682294,1607
f6_ivol_lag5_20d,5,0.009361871175954798,0.334984154307295,1.1175388463731857,1599
f6_ivol_lag5_20d,10,-0.00459210052409364,0.33465470531757013,-0.5469862375873104,1589
f6_ivol_lag5_20d,20,-0.014408664388992852,0.3397468890687547,-1.6798856056547837,1569
f7_vol_of_vol_20m40,1,-0.001484906962050333,0.3250420670108352,-0.18112814660327314,1572
f7_vol_of_vol_20m40,5,-0.004256796905601536,0.31754133916105326,-0.530152767174345,1564
f7_vol_of_vol_20m40,10,0.0025521901793172266,0.304842847532621,0.3300369239638784,1554
f7_vol_of_vol_20m40,20,0.005286507171013267,0.3032403214972749,0.6828016423385196,1534
f8_kitchen_sink_rank,1,0.02077769566063177,0.3454165320871837,2.384956882776854,1572
f8_kitchen_sink_rank,5,0.0023097362953448876,0.33927458535054905,0.26923371567430376,1564
f8_kitchen_sink_rank,10,-0.010826538678673982,0.3401906279639944,-1.2545639217508946,1554
f8_kitchen_sink_rank,20,-0.019777717917232627,0.349787096199123,-2.2145478781291175,1534
